label,tweet
1,"r t "" "" p u n j a b k i n g s i p l "" "" m a n k "" "" u u u u u u u u "" "" b e a u d y "" "" 9 9 "" "" f o r "" "" c a p t a i n "" "" m a y a n k "" "" s a d d a p u n j a b "" "" p u n j a b k i n g s "" "" i p l 2 0 2 1 "" "" p b k s v d c"
1,"d a v i d w a r n e r 3 1 "" "" h i "" "" d a v i d w a r n e r 3 1 "" "" s i r "" "" y o u r "" "" b e s t "" "" b a t s m a n "" "" f o r "" "" e v e r "" "" s i r "" "" y o u r "" "" t h e "" "" l e g e n d "" "" i m "" "" w a t c h i n g "" "" s o "" "" m a n y "" "" t i m e s "" "" y o u r"
1,"d a v i d w a r n e r 3 1 "" "" c a n d y w a r n e r 1 "" "" w e "" "" m i s s "" "" y o u "" "" w a r n e r "" "" b h a i "" "" p l e a s e "" "" d o n t "" "" l e a v e "" "" s r h "" "" w i t h o u t "" "" y o u "" "" t h e r e "" "" i s "" "" n o "" "" s r h "" "" p l e a s e "" "" i "" "" r"
1,"b r e a k i n g "" "" t h e "" "" g a m e "" "" b e t w e e n "" "" c h e n n a i "" "" s u p e r "" "" k i n g s "" "" a n d "" "" t h e "" "" r a j a s t h a n "" "" r o y a l s "" "" h a s "" "" b e e n "" "" r e s c h e d u l e d "" "" c h e n n a i s u p e r k i n g s"
0,"s u n r i s e r s "" "" i t "" "" v e r y "" "" b a d "" "" d e c i s i o n "" "" t a k e n "" "" b y "" "" s r h "" "" m a n a g e m e n t "" "" t o "" "" r e m o v e "" "" d a v i d "" "" w a r n e r "" "" f r o m "" "" c a p t a i n c y "" "" a s "" "" w e l l "" "" p l a y i n g "" "" 1 1"
0,"r t "" "" y o g i t w e e t z "" "" s r h "" "" f a n s "" "" r i g h t "" "" n o w "" "" n o w "" "" a n t a r e n t i "" "" p r a t i "" "" y e a r "" "" i p l "" "" c a n c e l "" "" a v a l a n i "" "" k o r k u n e d i "" "" r c b "" "" f a n s "" "" e h "" "" g a"
1,"f r o m "" "" r e d m i "" "" n o t e "" "" 4 "" "" t o "" "" r e d m i "" "" n o t e "" "" 9 "" "" i "" "" h a v e "" "" c a m e "" "" a l o n g "" "" w a y "" "" w i t h "" "" r e d m i "" "" i l o v e m i "" "" m i "" "" r e d m i "" "" m i f a n "" "" a w e s o m e "" "" e x p"
1,"k e e r t h i v a s a n "" "" b k "" "" n e x t "" "" y e a r "" "" m i "" "" t h a k u r"
0,"i p l "" "" 2 0 2 1 "" "" c h e n n a i "" "" s u p e r "" "" k i n g s "" "" r a j a s t h a n "" "" r o y a l s "" "" c l a s h "" "" t o "" "" b e "" "" r e s c h e d u l e d "" "" d u e "" "" t o "" "" b a l a j i "" "" c o v i d "" "" p o s i t i v e "" "" r e p o r t"
1,"r c b t w e e t s "" "" t h a n k "" "" y o u "" "" r c b "" "" a n d "" "" s t a y "" "" s a f e"
1,"w h i c h "" "" 2 "" "" o v e r s e a s "" "" c o m b o "" "" r r "" "" s h o u l d "" "" r e t a i n"
1,"r t "" "" v a r u s a r a t h 5 "" "" m a d e e e e e e e e "" "" m y "" "" d a y y y y y y y y y y y y "" "" c s k "" "" j a d d u "" "" i m j a d e j a "" "" w e "" "" l o v e e e e "" "" y o u u u u "" "" c h e n n a i i p l"
1,"r t "" "" r a j r j o f f l "" "" l o y a l t y "" "" m a t t e r s "" "" 2 0 0 t h "" "" g a m e "" "" f o r "" "" r c b "" "" i m v k o h l i "" "" n e e d "" "" 2 0 0 "" "" i m v k o h l i "" "" r e p l i e s"
1,"p u n j a b k i n g s i p l "" "" s e e "" "" y o u "" "" n e x t "" "" y e a r "" "" p u n j a b k i n g s"
1,"r c b t w e e t s "" "" p l s "" "" m a k e "" "" s u r e "" "" t o "" "" u s e "" "" t h e "" "" p p e "" "" c o l o r "" "" b l u e "" "" t e a m "" "" k i t s "" "" h o n o r i n g "" "" d o c s "" "" n "" "" n u r s e s "" "" a g a i n s t "" "" p u n j a b k i n g s i p l "" "" a s "" "" b o t h"
1,"c a n d i c e w a r n e r 3 1 "" "" d a v i d w a r n e r 3 1 "" "" r e a l l y "" "" g o r g e o u s "" "" p i c "" "" i "" "" l o v e "" "" u "" "" d a v i d "" "" a n d "" "" i "" "" a l w a y s "" "" w a n t "" "" t o "" "" s e e "" "" u "" "" f o r "" "" s r h"
1,"r t "" "" m i p a l t a n "" "" b a c k "" "" t o "" "" b a c k "" "" w i n s "" "" f o r "" "" m i "" "" s r h "" "" d e s p e r a t e "" "" f o r "" "" a "" "" s e c o n d "" "" w i n "" "" t h i s "" "" c r i s p "" "" p r e v i e w "" "" w i l l "" "" h a v e "" "" y o u "" "" c o v e r e d "" "" o n "" "" e v e r y t h i n g "" "" s r h v m"
